"customer_id","customer_name","address_line_1","city","state_province","postal_code","order_id","order_date","customer_id","order_id","product_id","quantity","product_id","product_name","product_price","total_amount","order_year_month","order_month"
67,Gordy Matteau,"59 Northland Circle",Wilmington,DE ,"19805",1001,2020-01-11,67,1001,106,3,106,Great value Juice,$1.99,$5.97,"2020-01",January 
201,Cort Paskerful,"769 Buell Drive",Huntsville,AL ,"35810",1002,2019-11-22,201,1002,104,2,104,Desk,$85.98,$171.96,"2019-11",November 
45,Willetta Lumley,"41 Ridgeway Alley",Irvine,CA ,"92612",1003,2019-09-17,45,1003,107,5,107,Dove deodorant,$3.99,$19.95,"2019-09",September
106,Alison Batterton,"489 Erie Hill",Richmond,VA ,"23293",1004,2019-12-09,106,1004,106,8,106,Great value Juice,$1.99,$15.92,"2019-12",December 
357,Martelle Paxeford,"451 Manitowish Place",Richmond,VA ,"23293",1005,2019-06-08,357,1005,107,7,107,Dove deodorant,$3.99,$27.93,"2019-06",June 
351,Glenn Reville,"3 Springview Drive",Dallas,TX ,"75277",1006,2020-02-18,351,1006,106,4,106,Great value Juice,$1.99,$7.96,"2020-02",February 
233,Cosette Berkowitz,"7619 Susan Lane",South Bend,IN ,"46634",1007,2019-10-25,233,1007,105,2,105,Office Chair,$55.99,$111.98,"2019-10",October 
121,Nisse Cunniam,"0 Dennis Pass",Lincoln,NE ,"68531",1008,2019-11-10,121,1008,101,1,101,Dell E5470 Laptop,$485.00,$485.00,"2019-11",November 
232,Yank Eayrs,"8176 Lawn Drive",Washington,DC ,"20575",1009,2019-09-27,232,1009,110,1,110,Apple iPad Mini,$329.99,$329.99,"2019-09",September
113,Jamesy Brothwood,"0693 Evergreen Pass",Scranton,PA ,"18514",1010,2019-09-02,113,1010,108,1,108,Printer,$59.99,$59.99,"2019-09",September
273,Sophey Mixworthy,"3 Daystar Terrace",Des Moines,IA ,"50936",1011,2019-09-08,273,1011,105,1,105,Office Chair,$55.99,$55.99,"2019-09",September
382,Kain Hiland,"01 Washington Junction",Saint Louis,MO ,"63126",1012,2019-12-01,382,1012,108,1,108,Printer,$59.99,$59.99,"2019-12",December 
83,Saxe Southam,"6 Pankratz Drive",Baton Rouge,LA ,"70805",1013,2019-05-19,83,1013,108,1,108,Printer,$59.99,$59.99,"2019-05",May 
383,Corinne Rysdale,"771 Porter Circle",Fairbanks,AK ,"99790",1014,2019-07-05,383,1014,106,1,106,Great value Juice,$1.99,$1.99,"2019-07",July 
284,Valentia Le Brun,"024 Golf View Point",Saint Paul,MN ,"55146",1015,2019-10-27,284,1015,101,1,101,Dell E5470 Laptop,$485.00,$485.00,"2019-10",October 
161,Kendricks Bernt,"43 Red Cloud Road",Sacramento,CA ,"95818",1016,2019-08-30,161,1016,110,2,110,Apple iPad Mini,$329.99,$659.98,"2019-08",August  
15,Merrill Langstaff,"3212 Butternut Plaza",Richmond,VA ,"23220",1017,2019-11-24,15,1017,103,1,103,Apple iPhone X,$694.97,$694.97,"2019-11",November 
385,Burr Freen,"95427 Evergreen Way",Washington,DC ,"20420",1018,2019-05-26,385,1018,103,1,103,Apple iPhone X,$694.97,$694.97,"2019-05",May 
215,Bronson Gripton,"03611 Bluestem Point",Memphis,TN ,"38188",1019,2019-09-26,215,1019,102,1,102,Apple Laptop,$988.72,$988.72,"2019-09",September
50,Jonathon Goodbarr,"79 Vera Lane",Greensboro,NC ,"27415",1020,2020-02-16,50,1020,103,1,103,Apple iPhone X,$694.97,$694.97,"2020-02",February 
178,Mycah McMaster,"6 Troy Parkway",Las Vegas,NV ,"89145",1021,2019-04-24,178,1021,107,6,107,Dove deodorant,$3.99,$23.94,"2019-04",April 
7,Stu Francomb,"5 Bayside Alley",Gastonia,NC ,"28055",1022,2019-06-13,7,1022,103,1,103,Apple iPhone X,$694.97,$694.97,"2019-06",June 
279,Florella Heball,"0961 Homewood Center",Levittown,PA ,"19058",1023,2019-07-19,279,1023,102,1,102,Apple Laptop,$988.72,$988.72,"2019-07",July 
65,Carry Dugdale,"553 Moose Lane",Norwalk,CT ,"06854",1024,2019-11-13,65,1024,105,2,105,Office Chair,$55.99,$111.98,"2019-11",November 
122,Abie Iddons,"0697 Hansons Lane",Arlington,TX ,"76096",1025,2019-08-11,122,1025,110,1,110,Apple iPad Mini,$329.99,$329.99,"2019-08",August  
250,Koralle Wortley,"6671 Basil Place",Reno,NV ,"89505",1026,2019-10-11,250,1026,108,1,108,Printer,$59.99,$59.99,"2019-10",October 
396,Granger O'Gready,"02605 Straubel Way",Kalamazoo,MI ,"49048",1027,2019-05-11,396,1027,106,5,106,Great value Juice,$1.99,$9.95,"2019-05",May 
122,Abie Iddons,"0697 Hansons Lane",Arlington,TX ,"76096",1028,2019-05-05,122,1028,105,3,105,Office Chair,$55.99,$167.97,"2019-05",May 
268,Eddi Thorington,"347 Scofield Circle",Gastonia,NC ,"28055",1029,2019-08-14,268,1029,103,2,103,Apple iPhone X,$694.97,"$1,389.94","2019-08",August  
120,Tyson Rodmell,"62 Park Meadow Place",Yonkers,NY ,"10705",1030,2019-04-17,120,1030,107,8,107,Dove deodorant,$3.99,$31.92,"2019-04",April 
148,Kristopher Brockherst,"179 Hoffman Hill",Colorado Springs,CO ,"80995",1031,2019-07-16,148,1031,110,1,110,Apple iPad Mini,$329.99,$329.99,"2019-07",July 
289,Keefer Maddra,"27117 Merry Parkway",Miami,FL ,"33129",1032,2019-10-20,289,1032,102,1,102,Apple Laptop,$988.72,$988.72,"2019-10",October 
326,Zorah Jakubowicz,"472 Browning Drive",Columbia,MO ,"65211",1033,2019-11-25,326,1033,107,7,107,Dove deodorant,$3.99,$27.93,"2019-11",November 
365,Sherilyn Dionisetti,"2126 Tennyson Drive",Mesa,AZ ,"85210",1034,2019-10-11,365,1034,109,1,109,Samsung Galaxy Note 10,$749.99,$749.99,"2019-10",October 
393,Ozzy Yockley,"01 Algoma Way",Kansas City,MO ,"64114",1035,2019-03-10,393,1035,110,1,110,Apple iPad Mini,$329.99,$329.99,"2019-03",March 
68,Eadmund Lancashire,"739 Rusk Trail",New Castle,PA ,"16107",1036,2019-05-18,68,1036,103,1,103,Apple iPhone X,$694.97,$694.97,"2019-05",May 
136,Emelina Padillo,"8895 Gale Circle",Fresno,CA ,"93704",1037,2019-10-22,136,1037,107,7,107,Dove deodorant,$3.99,$27.93,"2019-10",October 
255,Renae Holbie,"8076 Glacier Hill Street",Evansville,IN ,"47737",1038,2020-01-16,255,1038,103,2,103,Apple iPhone X,$694.97,"$1,389.94","2020-01",January 
93,Torrence Normandale,"20 Truax Place",Columbia,SC ,"29225",1039,2020-02-04,93,1039,103,1,103,Apple iPhone X,$694.97,$694.97,"2020-02",February 
167,Ninon McElory,"22 Oak Valley Road",Grand Forks,ND ,"58207",1040,2019-05-04,167,1040,101,1,101,Dell E5470 Laptop,$485.00,$485.00,"2019-05",May 
11,Elise Milan,"40 Duke Lane",Las Vegas,NV ,"89166",1041,2019-08-12,11,1041,101,1,101,Dell E5470 Laptop,$485.00,$485.00,"2019-08",August  
111,Yoko Avrahm,"9105 Crescent Oaks Terrace",Fresno,CA ,"93709",1042,2019-12-23,111,1042,108,1,108,Printer,$59.99,$59.99,"2019-12",December 
259,Kelsey Ekins,"380 Dennis Road",Albuquerque,NM ,"87195",1043,2019-04-03,259,1043,104,3,104,Desk,$85.98,$257.94,"2019-04",April 
207,Linnet Dainter,"366 Armistice Place",Columbus,MS ,"39705",1044,2019-03-08,207,1044,105,1,105,Office Chair,$55.99,$55.99,"2019-03",March 
351,Glenn Reville,"3 Springview Drive",Dallas,TX ,"75277",1045,2019-11-18,351,1045,105,2,105,Office Chair,$55.99,$111.98,"2019-11",November 
318,Christy Morriss,"9769 Cottonwood Court",Washington,DC ,"20557",1046,2019-08-17,318,1046,102,1,102,Apple Laptop,$988.72,$988.72,"2019-08",August  
153,Happy Burk,"433 Trailsway Trail",Greensboro,NC ,"27409",1047,2019-04-27,153,1047,108,1,108,Printer,$59.99,$59.99,"2019-04",April 
52,Massimo Bisgrove,"546 Manitowish Avenue",Dayton,OH ,"45454",1048,2019-10-27,52,1048,110,1,110,Apple iPad Mini,$329.99,$329.99,"2019-10",October 
213,Alec Endle,"5829 Bobwhite Alley",El Paso,TX ,"79928",1049,2020-01-11,213,1049,107,1,107,Dove deodorant,$3.99,$3.99,"2020-01",January 
176,Meta Champneys,"1433 Center Parkway",Saint Louis,MO ,"63116",1050,2019-03-10,176,1050,102,1,102,Apple Laptop,$988.72,$988.72,"2019-03",March 
172,Iseabal Griswaite,"234 Hoffman Junction",Annapolis,MD ,"21405",1051,2019-04-07,172,1051,102,1,102,Apple Laptop,$988.72,$988.72,"2019-04",April 
126,Rosalyn Aymeric,"55 Heath Park",Topeka,KS ,"66699",1052,2019-06-30,126,1052,101,1,101,Dell E5470 Laptop,$485.00,$485.00,"2019-06",June 
242,Suzanna Childerley,"85514 Northridge Junction",Santa Clara,CA ,"95054",1053,2019-06-05,242,1053,103,1,103,Apple iPhone X,$694.97,$694.97,"2019-06",June 
390,Page Heatlie,"863 Rutledge Crossing",Sacramento,CA ,"94237",1054,2019-08-13,390,1054,102,1,102,Apple Laptop,$988.72,$988.72,"2019-08",August  
76,Virginia Battams,"442 Pawling Plaza",Washington,DC ,"20420",1055,2019-10-02,76,1055,105,2,105,Office Chair,$55.99,$111.98,"2019-10",October 
95,Fawn Beauvais,"4549 Garrison Plaza",South Bend,IN ,"46620",1056,2019-08-24,95,1056,102,1,102,Apple Laptop,$988.72,$988.72,"2019-08",August  
292,Valene Stapford,"8083 Dottie Junction",Austin,TX ,"78778",1057,2019-07-11,292,1057,104,3,104,Desk,$85.98,$257.94,"2019-07",July 
40,Ramona Fanshawe,"1 Arkansas Trail",Richmond,VA ,"23228",1058,2020-02-17,40,1058,110,1,110,Apple iPad Mini,$329.99,$329.99,"2020-02",February 
23,Darbie McGonigle,"112 Vidon Road",Memphis,TN ,"38143",1059,2019-04-29,23,1059,104,3,104,Desk,$85.98,$257.94,"2019-04",April 
361,Jermain Derkes,"2421 Twin Pines Road",Pensacola,FL ,"32526",1060,2020-01-05,361,1060,104,1,104,Desk,$85.98,$85.98,"2020-01",January 
128,Zena Veld,"745 Corscot Circle",Austin,TX ,"78744",1061,2019-08-15,128,1061,101,1,101,Dell E5470 Laptop,$485.00,$485.00,"2019-08",August  
123,Willabella Prendergast,"8 Hooker Lane",Duluth,MN ,"55805",1062,2020-01-30,123,1062,109,1,109,Samsung Galaxy Note 10,$749.99,$749.99,"2020-01",January 
365,Sherilyn Dionisetti,"2126 Tennyson Drive",Mesa,AZ ,"85210",1063,2019-06-08,365,1063,101,1,101,Dell E5470 Laptop,$485.00,$485.00,"2019-06",June 
317,Liliane Jacmard,"2 Manufacturers Street",Orange,CA ,"92668",1064,2020-01-07,317,1064,107,7,107,Dove deodorant,$3.99,$27.93,"2020-01",January 
323,Rollie Kimmerling,"0743 Hayes Plaza",San Francisco,CA ,"94137",1065,2019-07-06,323,1065,106,1,106,Great value Juice,$1.99,$1.99,"2019-07",July 
219,Stirling Boston,"18651 Harbort Parkway",Toledo,OH ,"43635",1066,2019-05-17,219,1066,110,1,110,Apple iPad Mini,$329.99,$329.99,"2019-05",May 
116,Alisha Ellins,"8106 Dayton Center",Ashburn,VA ,"22093",1067,2020-02-02,116,1067,102,1,102,Apple Laptop,$988.72,$988.72,"2020-02",February 
